PeriodID,Quarter,Year
1,Q1,2010
2,Q2,2010
3,Q3,2010
4,Q4,2010
5,Q1,2011
6,Q2,2011
7,Q3,2011
8,Q4,2011
9,Q1,2012
10,Q2,2012
11,Q3,2012
12,Q4,2012
13,Q1,2013
14,Q2,2013
15,Q3,2013
16,Q4,2013
17,Q1,2014
18,Q2,2014
19,Q3,2014
20,Q4,2014
21,Q1,2015
22,Q2,2015
23,Q3,2015
24,Q4,2015
25,Q1,2016
26,Q2,2016
27,Q3,2016
28,Q4,2016
29,Q1,2017
30,Q2,2017
31,Q3,2017
32,Q4,2017
33,Q1,2018
34,Q2,2018
35,Q3,2018
36,Q4,2018
37,Q1,2019
38,Q2,2019
39,Q3,2019
40,Q4,2019
41,Q1,2020
42,Q2,2020
43,Q3,2020
44,Q4,2020
45,Q1,2021
46,Q2,2021
47,Q3,2021
48,Q4,2021
49,Q1,2022
50,Q2,2022
51,Q3,2022
52,Q4,2022
53,Q1,2023
54,Q2,2023
55,Q3,2023
56,Q4,2023
57,Q1,2024
58,Q2,2024
59,Q3,2024
60,Q4,2024
